,GDP per capita (current US$),CO2 emissions (metric tons per capita)
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,6472.39870887477,2.86827360523585
17,7885.15892730063,7.2346130211197
18,9765.90920740626,10.0273283992664
19,11392.2691499861,10.6345583536775
20,12306.7176791493,
21,13495.79430054,
22,14045.4745656146,
23,14938.6815734932,
24,16239.9878515928,
25,16439.3563609282,
26,16583.8758560136,
27,17927.9594391833,
28,19077.6874273513,
29,19355.3335357274,
30,20617.7504673528,
31,20670.3670051627,
32,20436.8871286309,
33,20833.976357295,
34,22568.3749910043,
35,23300.7383630907,
36,24046.2263769373,
37,25834.1117784233,
38,27083.6348596914,
39,24631.1820522439,
40,23513.527696809,
41,24985.0139185797,
42,24712.4932628907,
43,26441.6199357378,
44,26893.0115056581,
45,28396.9084228616,
46,28452.1706146796,
47,29350.8050189137,
48,30253.2793580195,
49,236.793424648275,1.12326124330665
50,254.006969067464,1.21959304813598
51,268.131326739248,1.20926277940778
52,339.759795964428,1.20452254201237
53,410.118239816733,1.18604520925868
54,424.803180517585,1.18113936724852
55,411.513619258493,1.1902033660535
56,456.254185174561,1.18221774296475
57,496.090590819875,1.16915760255062
58,564.002951169701,1.21690054858834
59,688.555399290773,1.23591089608268
60,685.205277946091,1.31976378887613
61,641.783869594962,1.36739655082786
62,643.803760127544,1.38636690084527
63,571.447121239101,1.43196363666722
64,495.66462896974,1.42314456862381
65,542.428123553241,1.42077689952666
66,643.801620251485,1.39014163585078
67,657.347249119682,1.40720536294492
68,657.186356415773,1.3571436122601
69,696.98814539625,1.01750484253188
70,704.427088459081,0.971323798302622
71,683.336134465999,0.931920141006098
72,706.488038736633,0.925464631734179
73,702.415965784792,0.91861181412739
74,771.410097098471,0.946474948273096
75,747.841550124969,0.951132322351584
76,765.967485354054,0.971562627514033
77,703.091356249091,0.969680077831292
78,675.804263446166,0.908374393979044
79,713.245921054769,0.900399149757883
80,633.608788994641,0.971980786600712
81,631.870339558401,0.975749134955925
82,819.743981457504,1.00996289646531
83,993.762711096436,1.05718153490629
84,1129.80871033245,1.03299842832055
85,1237.11180175654,1.02364555057226
86,1382.86903874723,1.04596778455517
87,1442.16815788071,1.08644884945052
88,1412.11128439583,1.02195356572593
89,1634.44825309864,1.04887555573041
90,1770.73623014017,1.0053381095461
91,1736.16655986305,1.02164632918829
92,1713.89929866184,1.03183309057281
93,1703.59629838885,1.0411447920002
94,1549.03794037642,0.987393167382925
95,1431.7787234042,0.971016455310255
96,1573.06338581001,0.959978016817397
97,1574.97864775317,0.933541201136227
98,1530.05917655094,
99,156.518771348706,0.149651313706331
100,159.567508996258,0.165208248913986
101,135.317227981591,0.12999551700409
102,143.144649500081,0.135366587543459
103,173.653624742026,0.154503116098014
104,186.510838346447,0.167612302906638
