,economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
132,AFG,YR2003,42.2761001586914,,,0.0570080382600792,-1123.43363571167,,11480.0,3840.0,,,,0.0115705359126356,190.683814295088,,,
133,AFG,YR2004,49.8432006835938,,,0.0456996082249427,-1604.83601379395,,11460.0,3810.0,,,,0.0103895380484067,211.382074198939,,,
134,AFG,YR2005,40.8591995239258,,,0.0639269698296666,-1272.78789520264,,11670.0,3970.0,,,,0.0126381416579317,242.031313175022,,,
135,AFG,YR2006,37.1372985839844,,,0.0733929460601948,-1163.72897720337,,14890.0,4060.0,,,,0.0148917470496534,263.733601866274,,,
136,AFG,YR2007,33.8625984191895,,,0.0870831291861248,-381.266067504879,,18100.0,4250.0,,,,0.0155056628971892,359.693157866109,,,
137,AFG,YR2008,21.3437004089355,,,0.158356377673251,613.016979217529,,22170.0,4790.0,,,,0.0169940719018454,364.6635420423,,,
138,AFG,YR2009,17.8504009246826,,,0.211306250868557,1144.77175140381,,25430.0,5320.0,,,1.05929016894999,0.0114045372234545,437.26874023514,,,
139,AFG,YR2010,14.8990001678467,,,0.297065211570221,2581.59587478638,,30010.0,5990.0,,,,0.0343921556870659,543.306526178281,,,
140,AFG,YR2011,11.559100151062,,,0.407073503097594,5607.86002731323,,39480.0,6610.0,,,,0.067987611615379,591.190030208565,,,
141,AFG,YR2012,14.404899597168,,,0.335351023308404,3299.16196060181,,48780.0,7160.0,,,,0.0583788012581106,638.845851607289,,,
142,AFG,YR2013,17.1049995422363,,,0.263715760645502,714.056015014648,,58130.0,7720.0,,,,0.0431043064546898,624.315454506615,,,
