,economy
5959,KEN
5960,KEN
5961,KEN
5962,KEN
5963,KEN
5995,KGZ
5996,KGZ
5997,KGZ
5998,KGZ
5999,KGZ
6000,KGZ
6001,KGZ
6002,KGZ
6003,KGZ
6004,KGZ
6005,KGZ
6006,KGZ
6007,KGZ
6008,KGZ
6009,KGZ
6010,KGZ
6011,KGZ
6012,KGZ
6013,KGZ
6045,KHM
6046,KHM
6047,KHM
6048,KHM
6049,KHM
6050,KHM
6051,KHM
6052,KHM
6053,KHM
6054,KHM
6055,KHM
6056,KHM
6057,KHM
6058,KHM
6059,KHM
6060,KHM
6061,KHM
6062,KHM
6063,KHM
6095,KIR
6096,KIR
6097,KIR
6098,KIR
6099,KIR
6100,KIR
6101,KIR
6102,KIR
6103,KIR
6104,KIR
6105,KIR
6106,KIR
6107,KIR
6108,KIR
6109,KIR
6110,KIR
6111,KIR
6112,KIR
6113,KIR
6145,KNA
6146,KNA
6147,KNA
6148,KNA
6149,KNA
6150,KNA
6151,KNA
6152,KNA
6153,KNA
6154,KNA
6155,KNA
6156,KNA
6157,KNA
6158,KNA
6159,KNA
6160,KNA
6161,KNA
6162,KNA
6163,KNA
6195,KOR
6196,KOR
6197,KOR
6198,KOR
6199,KOR
6200,KOR
6201,KOR
6202,KOR
6203,KOR
6204,KOR
6205,KOR
6206,KOR
6207,KOR
6208,KOR
6209,KOR
6210,KOR
6211,KOR
6212,KOR
6213,KOR
6245,KWT
6246,KWT
6247,KWT
6248,KWT
6249,KWT
6250,KWT
6251,KWT
6252,KWT
6253,KWT
6254,KWT
6255,KWT
6256,KWT
6257,KWT
6258,KWT
6259,KWT
6260,KWT
6261,KWT
6262,KWT
6263,KWT
6295,LAC
6296,LAC
6297,LAC
6298,LAC
6299,LAC
6300,LAC
6301,LAC
6302,LAC
6303,LAC
6304,LAC
6305,LAC
6306,LAC
6307,LAC
6308,LAC
6309,LAC
6310,LAC
6311,LAC
6312,LAC
6313,LAC
6345,LAO
6346,LAO
6347,LAO
6348,LAO
6349,LAO
6350,LAO
6351,LAO
6352,LAO
6353,LAO
6354,LAO
6355,LAO
6356,LAO
6357,LAO
6358,LAO
6359,LAO
6360,LAO
6361,LAO
6362,LAO
6363,LAO
6395,LBN
6396,LBN
6397,LBN
6398,LBN
6399,LBN
6400,LBN
6401,LBN
6402,LBN
6403,LBN
6404,LBN
6405,LBN
6406,LBN
6407,LBN
6408,LBN
6409,LBN
6410,LBN
6411,LBN
6412,LBN
6413,LBN
6445,LBR
6446,LBR
6447,LBR
6448,LBR
6449,LBR
6450,LBR
6451,LBR
6452,LBR
6453,LBR
6454,LBR
6455,LBR
6456,LBR
6457,LBR
6458,LBR
6459,LBR
6460,LBR
6461,LBR
6462,LBR
6463,LBR
6495,LBY
6496,LBY
6497,LBY
6498,LBY
6499,LBY
6500,LBY
6501,LBY
6502,LBY
6503,LBY
6504,LBY
6505,LBY
6506,LBY
6507,LBY
6508,LBY
6509,LBY
6510,LBY
6511,LBY
6512,LBY
6513,LBY
6545,LCA
6546,LCA
6547,LCA
6548,LCA
6549,LCA
6550,LCA
6551,LCA
6552,LCA
6553,LCA
6554,LCA
6555,LCA
6556,LCA
6557,LCA
6558,LCA
6559,LCA
6560,LCA
6561,LCA
6562,LCA
6563,LCA
6595,LCN
6596,LCN
6597,LCN
6598,LCN
6599,LCN
6600,LCN
6601,LCN
6602,LCN
6603,LCN
6604,LCN
6605,LCN
6606,LCN
6607,LCN
6608,LCN
6609,LCN
6610,LCN
6611,LCN
6612,LCN
6613,LCN
6645,LDC
6646,LDC
6647,LDC
6648,LDC
6649,LDC
6650,LDC
6651,LDC
6652,LDC
6653,LDC
6654,LDC
6655,LDC
6656,LDC
6657,LDC
6658,LDC
6659,LDC
6660,LDC
6661,LDC
6662,LDC
6663,LDC
6695,LIC
6696,LIC
6697,LIC
6698,LIC
6699,LIC
6700,LIC
6701,LIC
6702,LIC
6703,LIC
6704,LIC
6705,LIC
6706,LIC
6707,LIC
6708,LIC
6709,LIC
6710,LIC
6711,LIC
6712,LIC
6713,LIC
6745,LIE
6746,LIE
6747,LIE
6748,LIE
6749,LIE
6750,LIE
6751,LIE
6752,LIE
6753,LIE
6754,LIE
6755,LIE
6756,LIE
6757,LIE
6758,LIE
6759,LIE
6760,LIE
6761,LIE
6762,LIE
6763,LIE
6795,LKA
6796,LKA
6797,LKA
6798,LKA
6799,LKA
6800,LKA
6801,LKA
6802,LKA
6803,LKA
6804,LKA
6805,LKA
6806,LKA
6807,LKA
6808,LKA
6809,LKA
6810,LKA
6811,LKA
6812,LKA
6813,LKA
6845,LMC
6846,LMC
6847,LMC
6848,LMC
6849,LMC
6850,LMC
6851,LMC
6852,LMC
6853,LMC
6854,LMC
6855,LMC
6856,LMC
6857,LMC
6858,LMC
6859,LMC
6860,LMC
6861,LMC
6862,LMC
6863,LMC
6895,LMY
6896,LMY
6897,LMY
6898,LMY
6899,LMY
6900,LMY
6901,LMY
6902,LMY
6903,LMY
6904,LMY
6905,LMY
6906,LMY
6907,LMY
6908,LMY
6909,LMY
6910,LMY
6911,LMY
6912,LMY
6913,LMY
6945,LSO
6946,LSO
6947,LSO
6948,LSO
6949,LSO
6950,LSO
6951,LSO
6952,LSO
6953,LSO
6954,LSO
6955,LSO
6956,LSO
6957,LSO
6958,LSO
6959,LSO
6960,LSO
6961,LSO
6962,LSO
6963,LSO
6995,LTE
6996,LTE
6997,LTE
6998,LTE
6999,LTE
7000,LTE
7001,LTE
7002,LTE
7003,LTE
7004,LTE
7005,LTE
7006,LTE
7007,LTE
7008,LTE
7009,LTE
7010,LTE
7011,LTE
7012,LTE
7013,LTE
7045,LTU
7046,LTU
7047,LTU
7048,LTU
7049,LTU
7050,LTU
7051,LTU
7052,LTU
7053,LTU
7054,LTU
7055,LTU
7056,LTU
7057,LTU
7058,LTU
7059,LTU
7060,LTU
7061,LTU
7062,LTU
7063,LTU
7095,LUX
7096,LUX
7097,LUX
7098,LUX
7099,LUX
7100,LUX
7101,LUX
7102,LUX
7103,LUX
7104,LUX
7105,LUX
7106,LUX
7107,LUX
7108,LUX
7109,LUX
7110,LUX
7111,LUX
7112,LUX
7113,LUX
7145,LVA
7146,LVA
7147,LVA
7148,LVA
7149,LVA
7150,LVA
7151,LVA
7152,LVA
7153,LVA
7154,LVA
7155,LVA
7156,LVA
7157,LVA
7158,LVA
7159,LVA
7160,LVA
7161,LVA
7162,LVA
7163,LVA
7245,MAR
7246,MAR
7247,MAR
7248,MAR
7249,MAR
7250,MAR
7251,MAR
7252,MAR
7253,MAR
7254,MAR
7255,MAR
7256,MAR
7257,MAR
7258,MAR
7259,MAR
7260,MAR
7261,MAR
7262,MAR
7263,MAR
7345,MDA
7346,MDA
7347,MDA
7348,MDA
7349,MDA
7350,MDA
7351,MDA
7352,MDA
7353,MDA
7354,MDA
7355,MDA
7356,MDA
7357,MDA
7358,MDA
7359,MDA
7360,MDA
7361,MDA
7362,MDA
7363,MDA
7395,MDG
7396,MDG
7397,MDG
7398,MDG
7399,MDG
7400,MDG
7401,MDG
7402,MDG
7403,MDG
7404,MDG
7405,MDG
7406,MDG
7407,MDG
7408,MDG
7409,MDG
7410,MDG
7411,MDG
7412,MDG
7413,MDG
7445,MDV
7446,MDV
7447,MDV
7448,MDV
7449,MDV
7450,MDV
7451,MDV
7452,MDV
7453,MDV
7454,MDV
7455,MDV
7456,MDV
7457,MDV
7458,MDV
7459,MDV
7460,MDV
7461,MDV
7462,MDV
7463,MDV
7495,MEA
7496,MEA
7497,MEA
7498,MEA
7499,MEA
7500,MEA
7501,MEA
7502,MEA
7503,MEA
7504,MEA
7505,MEA
7506,MEA
7507,MEA
7508,MEA
7509,MEA
7510,MEA
7511,MEA
7512,MEA
7513,MEA
7545,MEX
7546,MEX
7547,MEX
7548,MEX
7549,MEX
7550,MEX
7551,MEX
7552,MEX
7553,MEX
7554,MEX
7555,MEX
7556,MEX
7557,MEX
7558,MEX
7559,MEX
7560,MEX
7561,MEX
7562,MEX
7563,MEX
7595,MHL
7596,MHL
7597,MHL
7598,MHL
7599,MHL
7600,MHL
7601,MHL
7602,MHL
7603,MHL
7604,MHL
7605,MHL
7606,MHL
7607,MHL
7608,MHL
7609,MHL
7610,MHL
7611,MHL
7612,MHL
7613,MHL
7645,MIC
7646,MIC
7647,MIC
7648,MIC
7649,MIC
7650,MIC
7651,MIC
7652,MIC
7653,MIC
7654,MIC
7655,MIC
7656,MIC
7657,MIC
7658,MIC
7659,MIC
7660,MIC
7661,MIC
7662,MIC
7663,MIC
7695,MKD
7696,MKD
7697,MKD
7698,MKD
7699,MKD
7700,MKD
7701,MKD
7702,MKD
7703,MKD
7704,MKD
7705,MKD
7706,MKD
7707,MKD
7708,MKD
7709,MKD
7710,MKD
7711,MKD
7712,MKD
7713,MKD
7745,MLI
7746,MLI
7747,MLI
7748,MLI
7749,MLI
7750,MLI
7751,MLI
7752,MLI
7753,MLI
7754,MLI
7755,MLI
7756,MLI
7757,MLI
7758,MLI
7759,MLI
7760,MLI
7761,MLI
7762,MLI
7763,MLI
7795,MLT
7796,MLT
7797,MLT
7798,MLT
7799,MLT
7800,MLT
7801,MLT
7802,MLT
7803,MLT
7804,MLT
7805,MLT
7806,MLT
7807,MLT
7808,MLT
7809,MLT
7810,MLT
7811,MLT
7812,MLT
7813,MLT
7845,MMR
7846,MMR
7847,MMR
7848,MMR
7849,MMR
7850,MMR
7851,MMR
7852,MMR
7853,MMR
7854,MMR
7855,MMR
7856,MMR
7857,MMR
7858,MMR
7859,MMR
7860,MMR
7861,MMR
7862,MMR
7863,MMR
7895,MNA
7896,MNA
7897,MNA
7898,MNA
7899,MNA
7900,MNA
7901,MNA
7902,MNA
7903,MNA
7904,MNA
7905,MNA
7906,MNA
7907,MNA
7908,MNA
7909,MNA
7910,MNA
7911,MNA
7912,MNA
7913,MNA
7925,MNE
7926,MNE
7927,MNE
7928,MNE
7929,MNE
7930,MNE
7931,MNE
7932,MNE
7933,MNE
7934,MNE
7935,MNE
7936,MNE
7937,MNE
7938,MNE
7939,MNE
7940,MNE
7941,MNE
7942,MNE
7943,MNE
7975,MNG
7976,MNG
7977,MNG
7978,MNG
7979,MNG
7980,MNG
7981,MNG
7982,MNG
7983,MNG
7984,MNG
7985,MNG
7986,MNG
7987,MNG
7988,MNG
7989,MNG
7990,MNG
7991,MNG
7992,MNG
7993,MNG
8073,MOZ
8074,MOZ
8075,MOZ
8076,MOZ
8077,MOZ
8078,MOZ
8079,MOZ
8080,MOZ
8081,MOZ
8082,MOZ
8083,MOZ
8084,MOZ
8085,MOZ
8086,MOZ
8087,MOZ
8088,MOZ
8089,MOZ
8090,MOZ
8091,MOZ
8123,MRT
8124,MRT
8125,MRT
8126,MRT
8127,MRT
8128,MRT
8129,MRT
8130,MRT
8131,MRT
8132,MRT
8133,MRT
8134,MRT
8135,MRT
8136,MRT
8137,MRT
8138,MRT
8139,MRT
8140,MRT
8141,MRT
8173,MUS
8174,MUS
8175,MUS
8176,MUS
8177,MUS
8178,MUS
8179,MUS
8180,MUS
8181,MUS
8182,MUS
8183,MUS
8184,MUS
8185,MUS
8186,MUS
8187,MUS
8188,MUS
8189,MUS
8190,MUS
8191,MUS
8223,MWI
8224,MWI
8225,MWI
8226,MWI
8227,MWI
8228,MWI
8229,MWI
8230,MWI
8231,MWI
8232,MWI
8233,MWI
8234,MWI
8235,MWI
8236,MWI
8237,MWI
8238,MWI
8239,MWI
8240,MWI
8241,MWI
8273,MYS
8274,MYS
8275,MYS
8276,MYS
8277,MYS
8278,MYS
8279,MYS
8280,MYS
8281,MYS
8282,MYS
8283,MYS
8284,MYS
8285,MYS
8286,MYS
8287,MYS
8288,MYS
8289,MYS
8290,MYS
8291,MYS
8323,NAC
8324,NAC
8325,NAC
8326,NAC
8327,NAC
8328,NAC
8329,NAC
8330,NAC
8331,NAC
8332,NAC
8333,NAC
8334,NAC
8335,NAC
8336,NAC
8337,NAC
8338,NAC
8339,NAC
8340,NAC
8341,NAC
8373,NAM
8374,NAM
8375,NAM
8376,NAM
8377,NAM
8378,NAM
8379,NAM
8380,NAM
8381,NAM
8382,NAM
8383,NAM
8384,NAM
8385,NAM
8386,NAM
8387,NAM
8388,NAM
8389,NAM
8390,NAM
8391,NAM
8473,NER
8474,NER
8475,NER
8476,NER
8477,NER
8478,NER
8479,NER
8480,NER
8481,NER
8482,NER
8483,NER
8484,NER
8485,NER
8486,NER
8487,NER
8488,NER
8489,NER
8490,NER
8491,NER
8523,NGA
8524,NGA
8525,NGA
8526,NGA
8527,NGA
8528,NGA
8529,NGA
8530,NGA
8531,NGA
8532,NGA
8533,NGA
8534,NGA
8535,NGA
8536,NGA
8537,NGA
8538,NGA
8539,NGA
8540,NGA
8541,NGA
8573,NIC
8574,NIC
8575,NIC
8576,NIC
8577,NIC
8578,NIC
8579,NIC
8580,NIC
8581,NIC
8582,NIC
8583,NIC
8584,NIC
8585,NIC
8586,NIC
8587,NIC
8588,NIC
8589,NIC
8590,NIC
8591,NIC
8623,NLD
8624,NLD
8625,NLD
8626,NLD
8627,NLD
8628,NLD
8629,NLD
8630,NLD
8631,NLD
8632,NLD
8633,NLD
8634,NLD
8635,NLD
8636,NLD
8637,NLD
8638,NLD
8639,NLD
8640,NLD
8641,NLD
8673,NOR
8674,NOR
8675,NOR
8676,NOR
8677,NOR
8678,NOR
8679,NOR
8680,NOR
8681,NOR
8682,NOR
8683,NOR
8684,NOR
8685,NOR
8686,NOR
8687,NOR
8688,NOR
8689,NOR
8690,NOR
8691,NOR
8723,NPL
8724,NPL
8725,NPL
8726,NPL
8727,NPL
8728,NPL
8729,NPL
8730,NPL
8731,NPL
8732,NPL
8733,NPL
8734,NPL
8735,NPL
8736,NPL
8737,NPL
8738,NPL
8739,NPL
8740,NPL
8741,NPL
8783,NRU
8784,NRU
8785,NRU
8786,NRU
8787,NRU
8788,NRU
8789,NRU
8790,NRU
8791,NRU
8823,NZL
8824,NZL
8825,NZL
8826,NZL
8827,NZL
8828,NZL
8829,NZL
8830,NZL
8831,NZL
8832,NZL
8833,NZL
8834,NZL
8835,NZL
8836,NZL
8837,NZL
8838,NZL
8839,NZL
8840,NZL
8841,NZL
8873,OED
8874,OED
8875,OED
8876,OED
8877,OED
8878,OED
8879,OED
8880,OED
8881,OED
8882,OED
8883,OED
8884,OED
8885,OED
8886,OED
8887,OED
8888,OED
8889,OED
8890,OED
8891,OED
8923,OMN
8924,OMN
8925,OMN
8926,OMN
8927,OMN
8928,OMN
8929,OMN
8930,OMN
8931,OMN
8932,OMN
8933,OMN
8934,OMN
8935,OMN
8936,OMN
8937,OMN
8938,OMN
8939,OMN
8940,OMN
8941,OMN
8973,OSS
8974,OSS
8975,OSS
8976,OSS
8977,OSS
8978,OSS
8979,OSS
8980,OSS
8981,OSS
8982,OSS
8983,OSS
8984,OSS
8985,OSS
8986,OSS
8987,OSS
8988,OSS
8989,OSS
8990,OSS
8991,OSS
9023,PAK
9024,PAK
9025,PAK
9026,PAK
9027,PAK
9028,PAK
9029,PAK
9030,PAK
9031,PAK
9032,PAK
9033,PAK
9034,PAK
9035,PAK
9036,PAK
9037,PAK
9038,PAK
9039,PAK
9040,PAK
9041,PAK
9073,PAN
9074,PAN
9075,PAN
9076,PAN
9077,PAN
9078,PAN
9079,PAN
9080,PAN
9081,PAN
9082,PAN
9083,PAN
9084,PAN
9085,PAN
9086,PAN
9087,PAN
9088,PAN
9089,PAN
9090,PAN
9091,PAN
9123,PER
9124,PER
9125,PER
9126,PER
9127,PER
9128,PER
9129,PER
9130,PER
9131,PER
9132,PER
9133,PER
9134,PER
9135,PER
9136,PER
9137,PER
9138,PER
9139,PER
9140,PER
9141,PER
9173,PHL
9174,PHL
9175,PHL
9176,PHL
9177,PHL
9178,PHL
9179,PHL
9180,PHL
9181,PHL
9182,PHL
9183,PHL
9184,PHL
9185,PHL
9186,PHL
9187,PHL
9188,PHL
9189,PHL
9190,PHL
9191,PHL
9223,PLW
9224,PLW
9225,PLW
9226,PLW
9227,PLW
9228,PLW
9229,PLW
9230,PLW
9231,PLW
9232,PLW
9233,PLW
9234,PLW
9235,PLW
9236,PLW
9237,PLW
9238,PLW
9239,PLW
9240,PLW
9241,PLW
9273,PNG
9274,PNG
9275,PNG
9276,PNG
9277,PNG
9278,PNG
9279,PNG
9280,PNG
9281,PNG
9282,PNG
9283,PNG
9284,PNG
9285,PNG
9286,PNG
9287,PNG
9288,PNG
9289,PNG
9290,PNG
9291,PNG
9323,POL
9324,POL
9325,POL
9326,POL
9327,POL
9328,POL
9329,POL
9330,POL
9331,POL
9332,POL
9333,POL
9334,POL
9335,POL
9336,POL
9337,POL
9338,POL
9339,POL
9340,POL
9341,POL
9373,PRE
9374,PRE
9375,PRE
9376,PRE
9377,PRE
9378,PRE
9379,PRE
9380,PRE
9381,PRE
9382,PRE
9383,PRE
9384,PRE
9385,PRE
9386,PRE
9387,PRE
9388,PRE
9389,PRE
9390,PRE
9391,PRE
9522,PRT
9523,PRT
9524,PRT
9525,PRT
9526,PRT
9527,PRT
9528,PRT
9529,PRT
9530,PRT
9531,PRT
9532,PRT
9533,PRT
9534,PRT
9535,PRT
9536,PRT
9537,PRT
9538,PRT
9539,PRT
9540,PRT
9572,PRY
9573,PRY
9574,PRY
9575,PRY
9576,PRY
9577,PRY
9578,PRY
9579,PRY
9580,PRY
9581,PRY
9582,PRY
9583,PRY
9584,PRY
9585,PRY
9586,PRY
9587,PRY
9588,PRY
9589,PRY
9590,PRY
9652,PSS
9653,PSS
9654,PSS
9655,PSS
9656,PSS
9657,PSS
9658,PSS
9659,PSS
9660,PSS
9661,PSS
9662,PSS
9663,PSS
9664,PSS
9665,PSS
9666,PSS
9667,PSS
9668,PSS
9669,PSS
9670,PSS
9702,PST
9703,PST
9704,PST
9705,PST
9706,PST
9707,PST
9708,PST
9709,PST
9710,PST
9711,PST
9712,PST
9713,PST
9714,PST
9715,PST
9716,PST
9717,PST
9718,PST
9719,PST
9720,PST
9801,QAT
9802,QAT
9803,QAT
9804,QAT
9805,QAT
9806,QAT
9807,QAT
9808,QAT
9809,QAT
9810,QAT
9811,QAT
9812,QAT
9813,QAT
9814,QAT
9815,QAT
9816,QAT
9817,QAT
9818,QAT
9819,QAT
9851,ROU
9852,ROU
9853,ROU
9854,ROU
9855,ROU
9856,ROU
9857,ROU
9858,ROU
9859,ROU
9860,ROU
9861,ROU
9862,ROU
9863,ROU
9864,ROU
9865,ROU
9866,ROU
9867,ROU
9868,ROU
9869,ROU
9901,RUS
9902,RUS
9903,RUS
9904,RUS
9905,RUS
9906,RUS
9907,RUS
9908,RUS
9909,RUS
9910,RUS
9911,RUS
9912,RUS
9913,RUS
9914,RUS
9915,RUS
9916,RUS
9917,RUS
9918,RUS
9919,RUS
9951,RWA
9952,RWA
9953,RWA
9954,RWA
9955,RWA
9956,RWA
9957,RWA
9958,RWA
9959,RWA
9960,RWA
9961,RWA
9962,RWA
9963,RWA
9964,RWA
9965,RWA
9966,RWA
9967,RWA
9968,RWA
9969,RWA
10001,SAS
10002,SAS
10003,SAS
10004,SAS
10005,SAS
10006,SAS
10007,SAS
10008,SAS
10009,SAS
10010,SAS
10011,SAS
10012,SAS
10013,SAS
10014,SAS
10015,SAS
10016,SAS
10017,SAS
10018,SAS
10019,SAS
10051,SAU
10052,SAU
10053,SAU
10054,SAU
10055,SAU
10056,SAU
10057,SAU
10058,SAU
10059,SAU
10060,SAU
10061,SAU
10062,SAU
10063,SAU
10064,SAU
10065,SAU
10066,SAU
10067,SAU
10068,SAU
10069,SAU
10101,SDN
10102,SDN
10103,SDN
10104,SDN
10105,SDN
10106,SDN
10107,SDN
10108,SDN
10109,SDN
10110,SDN
10111,SDN
10112,SDN
10113,SDN
10114,SDN
10115,SDN
10116,SDN
10117,SDN
10118,SDN
10119,SDN
10151,SEN
10152,SEN
10153,SEN
10154,SEN
10155,SEN
10156,SEN
10157,SEN
10158,SEN
10159,SEN
10160,SEN
10161,SEN
10162,SEN
10163,SEN
10164,SEN
10165,SEN
10166,SEN
10167,SEN
10168,SEN
10169,SEN
10201,SGP
10202,SGP
10203,SGP
10204,SGP
10205,SGP
10206,SGP
10207,SGP
10208,SGP
10209,SGP
10210,SGP
10211,SGP
10212,SGP
10213,SGP
10214,SGP
10215,SGP
10216,SGP
10217,SGP
10218,SGP
10219,SGP
10251,SLB
10252,SLB
10253,SLB
10254,SLB
10255,SLB
10256,SLB
10257,SLB
10258,SLB
10259,SLB
10260,SLB
10261,SLB
10262,SLB
10263,SLB
10264,SLB
10265,SLB
10266,SLB
10267,SLB
10268,SLB
10269,SLB
10301,SLE
10302,SLE
10303,SLE
10304,SLE
10305,SLE
10306,SLE
10307,SLE
10308,SLE
10309,SLE
10310,SLE
10311,SLE
10312,SLE
10313,SLE
10314,SLE
10315,SLE
10316,SLE
10317,SLE
10318,SLE
10319,SLE
10351,SLV
10352,SLV
10353,SLV
10354,SLV
10355,SLV
10356,SLV
10357,SLV
10358,SLV
10359,SLV
10360,SLV
10361,SLV
10362,SLV
10363,SLV
10364,SLV
10365,SLV
10366,SLV
10367,SLV
10368,SLV
10369,SLV
10435,SOM
10436,SOM
10437,SOM
10438,SOM
10439,SOM
10440,SOM
10452,SRB
10453,SRB
10454,SRB
10455,SRB
10456,SRB
10457,SRB
10458,SRB
10459,SRB
10460,SRB
10461,SRB
10462,SRB
10463,SRB
10464,SRB
10465,SRB
10466,SRB
10467,SRB
10468,SRB
10469,SRB
10470,SRB
10502,SSA
10503,SSA
10504,SSA
10505,SSA
10506,SSA
10507,SSA
10508,SSA
10509,SSA
10510,SSA
10511,SSA
10512,SSA
10513,SSA
10514,SSA
10515,SSA
10516,SSA
10517,SSA
10518,SSA
10519,SSA
10520,SSA
10540,SSD
10541,SSD
10542,SSD
10543,SSD
10544,SSD
10545,SSD
10546,SSD
10547,SSD
10581,SSF
10582,SSF
10583,SSF
10584,SSF
10585,SSF
10586,SSF
10587,SSF
10588,SSF
10589,SSF
10590,SSF
10591,SSF
10592,SSF
10593,SSF
10594,SSF
10595,SSF
10596,SSF
10597,SSF
10598,SSF
10599,SSF
10631,SST
10632,SST
10633,SST
10634,SST
10635,SST
10636,SST
10637,SST
10638,SST
10639,SST
10640,SST
10641,SST
10642,SST
10643,SST
10644,SST
10645,SST
10646,SST
10647,SST
10648,SST
10649,SST
10682,STP
10683,STP
10684,STP
10685,STP
10686,STP
10687,STP
10688,STP
10689,STP
10690,STP
10691,STP
10692,STP
10693,STP
10694,STP
10695,STP
10696,STP
10697,STP
10698,STP
10699,STP
10731,SUR
10732,SUR
10733,SUR
10734,SUR
10735,SUR
10736,SUR
10737,SUR
10738,SUR
10739,SUR
10740,SUR
10741,SUR
10742,SUR
10743,SUR
10744,SUR
10745,SUR
10746,SUR
10747,SUR
10748,SUR
10749,SUR
10781,SVK
10782,SVK
10783,SVK
10784,SVK
10785,SVK
10786,SVK
10787,SVK
10788,SVK
10789,SVK
10790,SVK
10791,SVK
10792,SVK
10793,SVK
10794,SVK
10795,SVK
10796,SVK
10797,SVK
10798,SVK
10799,SVK
10831,SVN
10832,SVN
10833,SVN
10834,SVN
10835,SVN
10836,SVN
10837,SVN
10838,SVN
10839,SVN
10840,SVN
10841,SVN
10842,SVN
10843,SVN
10844,SVN
10845,SVN
10846,SVN
10847,SVN
10848,SVN
10849,SVN
10881,SWE
10882,SWE
10883,SWE
10884,SWE
10885,SWE
10886,SWE
10887,SWE
10888,SWE
10889,SWE
10890,SWE
10891,SWE
10892,SWE
10893,SWE
10894,SWE
10895,SWE
10896,SWE
10897,SWE
10898,SWE
10899,SWE
10931,SWZ
10932,SWZ
10933,SWZ
10934,SWZ
10935,SWZ
10936,SWZ
10937,SWZ
10938,SWZ
10939,SWZ
10940,SWZ
10941,SWZ
10942,SWZ
10943,SWZ
10944,SWZ
10945,SWZ
10946,SWZ
10947,SWZ
10948,SWZ
10949,SWZ
11000,SYC
11001,SYC
11002,SYC
11003,SYC
11004,SYC
11005,SYC
11006,SYC
11007,SYC
11008,SYC
11009,SYC
11010,SYC
11011,SYC
11012,SYC
11013,SYC
11014,SYC
11015,SYC
11016,SYC
11017,SYC
11018,SYC
11050,SYR
11051,SYR
11052,SYR
11053,SYR
11054,SYR
11055,SYR
11056,SYR
11057,SYR
11058,SYR
11059,SYR
11060,SYR
11061,SYR
11062,SYR
11063,SYR
11064,SYR
11065,SYR
11066,SYR
11067,SYR
11068,SYR
11150,TCD
11151,TCD
11152,TCD
11153,TCD
11154,TCD
11155,TCD
11156,TCD
11157,TCD
11158,TCD
11159,TCD
11160,TCD
11161,TCD
11162,TCD
11163,TCD
11164,TCD
11165,TCD
11166,TCD
11167,TCD
11168,TCD
11200,TEA
11201,TEA
11202,TEA
11203,TEA
11204,TEA
11205,TEA
11206,TEA
11207,TEA
11208,TEA
11209,TEA
11210,TEA
11211,TEA
11212,TEA
11213,TEA
11214,TEA
11215,TEA
11216,TEA
11217,TEA
11218,TEA
11250,TEC
11251,TEC
11252,TEC
11253,TEC
11254,TEC
11255,TEC
11256,TEC
11257,TEC
11258,TEC
11259,TEC
11260,TEC
11261,TEC
11262,TEC
11263,TEC
11264,TEC
11265,TEC
11266,TEC
11267,TEC
11268,TEC
11300,TGO
11301,TGO
11302,TGO
11303,TGO
11304,TGO
11305,TGO
11306,TGO
11307,TGO
11308,TGO
11309,TGO
11310,TGO
11311,TGO
11312,TGO
11313,TGO
11314,TGO
11315,TGO
11316,TGO
11317,TGO
11318,TGO
11350,THA
11351,THA
11352,THA
11353,THA
11354,THA
11355,THA
11356,THA
11357,THA
11358,THA
11359,THA
11360,THA
11361,THA
11362,THA
11363,THA
11364,THA
11365,THA
11366,THA
11367,THA
11368,THA
11400,TJK
11401,TJK
11402,TJK
11403,TJK
11404,TJK
11405,TJK
11406,TJK
11407,TJK
11408,TJK
11409,TJK
11410,TJK
11411,TJK
11412,TJK
11413,TJK
11414,TJK
11415,TJK
11416,TJK
11417,TJK
11418,TJK
11450,TKM
11451,TKM
11452,TKM
11453,TKM
11454,TKM
11455,TKM
11456,TKM
11457,TKM
11458,TKM
11459,TKM
11460,TKM
11461,TKM
11462,TKM
11463,TKM
11464,TKM
11465,TKM
11466,TKM
11467,TKM
11468,TKM
11500,TLA
11501,TLA
11502,TLA
11503,TLA
11504,TLA
11505,TLA
11506,TLA
11507,TLA
11508,TLA
11509,TLA
11510,TLA
11511,TLA
11512,TLA
11513,TLA
11514,TLA
11515,TLA
11516,TLA
11517,TLA
11518,TLA
11550,TLS
11551,TLS
11552,TLS
11553,TLS
11554,TLS
11555,TLS
11556,TLS
11557,TLS
11558,TLS
11559,TLS
11560,TLS
11561,TLS
11562,TLS
11563,TLS
11564,TLS
11565,TLS
11566,TLS
11567,TLS
11568,TLS
11600,TMN
11601,TMN
11602,TMN
11603,TMN
11604,TMN
11605,TMN
11606,TMN
11607,TMN
11608,TMN
11609,TMN
11610,TMN
11611,TMN
11612,TMN
11613,TMN
11614,TMN
11615,TMN
11616,TMN
11617,TMN
11618,TMN
11650,TON
11651,TON
11652,TON
11653,TON
11654,TON
11655,TON
11656,TON
11657,TON
11658,TON
11659,TON
11660,TON
11661,TON
11662,TON
11663,TON
11664,TON
11665,TON
11666,TON
11667,TON
11668,TON
11700,TSA
11701,TSA
11702,TSA
11703,TSA
11704,TSA
11705,TSA
11706,TSA
11707,TSA
11708,TSA
11709,TSA
11710,TSA
11711,TSA
11712,TSA
11713,TSA
11714,TSA
11715,TSA
11716,TSA
11717,TSA
11718,TSA
11750,TSS
11751,TSS
11752,TSS
11753,TSS
11754,TSS
11755,TSS
11756,TSS
11757,TSS
11758,TSS
11759,TSS
11760,TSS
11761,TSS
