,economy
1492,BRA
1493,BRA
1494,BRA
1495,BRA
1496,BRA
1497,BRA
1529,BRB
1530,BRB
1531,BRB
1532,BRB
1533,BRB
1534,BRB
1535,BRB
1536,BRB
1537,BRB
1538,BRB
1539,BRB
1540,BRB
1541,BRB
1542,BRB
1543,BRB
1544,BRB
1545,BRB
1546,BRB
1547,BRB
1579,BRN
1580,BRN
1581,BRN
1582,BRN
1583,BRN
1584,BRN
1585,BRN
1586,BRN
1587,BRN
1588,BRN
1589,BRN
1590,BRN
1591,BRN
1592,BRN
1593,BRN
1594,BRN
1595,BRN
1596,BRN
1597,BRN
1629,BTN
1630,BTN
1631,BTN
1632,BTN
1633,BTN
1634,BTN
1635,BTN
1636,BTN
1637,BTN
1638,BTN
1639,BTN
1640,BTN
1641,BTN
1642,BTN
1643,BTN
1644,BTN
1645,BTN
1646,BTN
1647,BTN
1679,BWA
1680,BWA
1681,BWA
1682,BWA
1683,BWA
1684,BWA
1685,BWA
1686,BWA
1687,BWA
1688,BWA
1689,BWA
1690,BWA
1691,BWA
1692,BWA
1693,BWA
1694,BWA
1695,BWA
1696,BWA
1697,BWA
1729,CAF
1730,CAF
1731,CAF
1732,CAF
1733,CAF
1734,CAF
1735,CAF
1736,CAF
1737,CAF
1738,CAF
1739,CAF
1740,CAF
1741,CAF
1742,CAF
1743,CAF
1744,CAF
1745,CAF
1746,CAF
1747,CAF
1779,CAN
1780,CAN
1781,CAN
1782,CAN
1783,CAN
1784,CAN
1785,CAN
1786,CAN
1787,CAN
1788,CAN
1789,CAN
1790,CAN
1791,CAN
1792,CAN
1793,CAN
1794,CAN
1795,CAN
1796,CAN
1797,CAN
1829,CEB
1830,CEB
1831,CEB
1832,CEB
1833,CEB
1834,CEB
1835,CEB
1836,CEB
1837,CEB
1838,CEB
1839,CEB
1840,CEB
1841,CEB
1842,CEB
1843,CEB
1844,CEB
1845,CEB
1846,CEB
1847,CEB
1879,CHE
1880,CHE
1881,CHE
1882,CHE
1883,CHE
1884,CHE
1885,CHE
1886,CHE
1887,CHE
1888,CHE
1889,CHE
1890,CHE
1891,CHE
1892,CHE
1893,CHE
1894,CHE
1895,CHE
1896,CHE
1897,CHE
1939,CHL
1940,CHL
1941,CHL
1942,CHL
1943,CHL
1944,CHL
1945,CHL
1946,CHL
1947,CHL
1948,CHL
1949,CHL
1950,CHL
1951,CHL
1952,CHL
1953,CHL
1954,CHL
1955,CHL
1956,CHL
1957,CHL
1989,CHN
1990,CHN
1991,CHN
1992,CHN
1993,CHN
1994,CHN
1995,CHN
1996,CHN
1997,CHN
1998,CHN
1999,CHN
2000,CHN
2001,CHN
2002,CHN
2003,CHN
2004,CHN
2005,CHN
2006,CHN
2007,CHN
2039,CIV
2040,CIV
2041,CIV
2042,CIV
2043,CIV
2044,CIV
2045,CIV
2046,CIV
2047,CIV
2048,CIV
2049,CIV
2050,CIV
2051,CIV
2052,CIV
2053,CIV
2054,CIV
2055,CIV
2056,CIV
2057,CIV
2089,CMR
2090,CMR
2091,CMR
2092,CMR
2093,CMR
2094,CMR
2095,CMR
2096,CMR
2097,CMR
2098,CMR
2099,CMR
2100,CMR
2101,CMR
2102,CMR
2103,CMR
2104,CMR
2105,CMR
2106,CMR
2107,CMR
2139,COD
2140,COD
2141,COD
2142,COD
2143,COD
2144,COD
2145,COD
2146,COD
2147,COD
2148,COD
2149,COD
2150,COD
2151,COD
2152,COD
2153,COD
2154,COD
2155,COD
2156,COD
2157,COD
2189,COG
2190,COG
2191,COG
2192,COG
2193,COG
2194,COG
2195,COG
2196,COG
2197,COG
2198,COG
2199,COG
2200,COG
2201,COG
2202,COG
2203,COG
2204,COG
2205,COG
2206,COG
2207,COG
2239,COL
2240,COL
2241,COL
2242,COL
2243,COL
2244,COL
2245,COL
2246,COL
2247,COL
2248,COL
2249,COL
2250,COL
2251,COL
2252,COL
2253,COL
2254,COL
2255,COL
2256,COL
2257,COL
2289,COM
2290,COM
2291,COM
2292,COM
2293,COM
2294,COM
2295,COM
2296,COM
2297,COM
2298,COM
2299,COM
2300,COM
2301,COM
2302,COM
2303,COM
2304,COM
2305,COM
2306,COM
2307,COM
2339,CPV
2340,CPV
2341,CPV
2342,CPV
2343,CPV
2344,CPV
2345,CPV
2346,CPV
2347,CPV
2348,CPV
2349,CPV
2350,CPV
2351,CPV
2352,CPV
2353,CPV
2354,CPV
2355,CPV
2356,CPV
2357,CPV
2389,CRI
2390,CRI
2391,CRI
2392,CRI
2393,CRI
2394,CRI
2395,CRI
2396,CRI
2397,CRI
2398,CRI
2399,CRI
2400,CRI
2401,CRI
2402,CRI
2403,CRI
2404,CRI
2405,CRI
2406,CRI
2407,CRI
2439,CSS
2440,CSS
2441,CSS
2442,CSS
2443,CSS
2444,CSS
2445,CSS
2446,CSS
2447,CSS
2448,CSS
2449,CSS
2450,CSS
2451,CSS
2452,CSS
2453,CSS
2454,CSS
2455,CSS
2456,CSS
2457,CSS
2489,CUB
2490,CUB
2491,CUB
2492,CUB
2493,CUB
2494,CUB
2495,CUB
2496,CUB
2497,CUB
2498,CUB
2499,CUB
2500,CUB
2501,CUB
2502,CUB
2503,CUB
2504,CUB
2505,CUB
2506,CUB
2507,CUB
2622,CYP
2623,CYP
2624,CYP
